CustomerID,Region,Sales,NetSales,Discount,Date,TransactionYear,TransactionMonth,DayOfWeek,ProductID,Quantity,Return,CustomerType,SalesChannel,PaymentMethod,SatisfactionScore,ProductCategory,IsHighValue
1001,East,21708.7798788858,21708.7798788858,0.0,2024-02-27 03:21:48.108108104,2024,2,Tuesday,164,16,0,VIP,Online,Credit Card,3,Electronics,0
1002,West,29380.854196079432,27911.81148627546,5.0,2024-05-09 22:40:43.243243240,2024,5,Thursday,156,22,0,New,In-Store,Bank Transfer,6,Sports,1
1003,North,24752.11919093025,21039.301312290714,15.0,2024-05-01 00:05:45.945945944,2024,5,Wednesday,192,85,0,New,In-Store,Credit Card,2,Health & Beauty,0
1004,East,17115.481721687986,16259.707635603585,5.0,2024-08-25 20:59:49.189189184,2024,8,Sunday,198,54,0,Returning,Direct,Cash,10,Sports,0
1005,East,15507.92664325821,15507.92664325821,0.0,2024-05-31 15:48:28.108108104,2024,5,Friday,139,21,0,New,In-Store,Credit Card,1,Sports,0
1006,Unknown,22459.595857532528,19090.65647890265,15.0,2024-08-11 19:47:44.864864864,2024,8,Sunday,113,72,0,New,Online,Credit Card,1,Home & Kitchen,0
1007,North,13398.833964896789,13398.833964896789,0.0,2024-08-19 11:43:25.405405400,2024,8,Monday,134,16,1,New,Direct,Cash,5,Books,0
1008,North,29157.293829271766,27699.429137808176,5.0,2024-04-06 02:19:49.189189184,2024,4,Saturday,147,59,0,Returning,Online,Cash,4,Books,1
1009,East,25897.200603606438,22012.62051306547,15.0,2023-01-16 07:51:21.081081081,2023,1,Monday,183,31,0,New,Direct,Credit Card,1,Toys,0
1010,South,17654.121739476475,16771.415652502652,5.0,2024-05-29 02:29:54.594594592,2024,5,Wednesday,155,42,0,VIP,Direct,Cash,4,Sports,0
1011,East,11434.327354545612,11434.327354545612,0.0,2024-06-28 02:52:58.378378376,2024,6,Friday,148,74,0,Returning,In-Store,Cash,3,Books,0
1012,East,26769.361870827062,26769.361870827062,0.0,2024-02-28 10:01:04.864864864,2024,2,Wednesday,112,32,0,Returning,Online,Cash,2,Health & Beauty,0
1013,East,19427.30077373691,18455.935735050065,5.0,2023-12-08 16:07:12.432432432,2023,12,Friday,160,59,0,VIP,Direct,Cash,9,Clothing,0
1014,East,20240.42473330691,17204.361023310874,15.0,2024-05-02 06:45:02.702702704,2024,5,Thursday,148,34,0,VIP,In-Store,Cash,1,Health & Beauty,0
